id,description,name
1,Hardware,IT technician
2,Hardware,Technical assistance specialist
3,Hardware,Technical support
4,Design,Web designer
5,Design,UX/UI designer
6,Writter,Web content manager
7,Software,Front-end developer
8,Software,Mobile Developer
9,Software,Full-stack developer
10,Management,Business systems analyst
11,Software,Database coordinator
12,Software,Data scientist
13,Software,Network administrator
14,Software,Software engineer
15,Software,Artificial intelligence engineer
16,Software,DevOps Engineer
17,Software,Game developer
18,Software,Cloud computing engineer
